timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-01-02,9.0,10.5,7.0,10.5,8.92036609967863,15500,0.0,1.0
2009-01-05,11.19,11.19,8.0,8.81,7.48461193696845,35700,0.0,1.0
2009-01-06,8.9,11.965,8.65,11.89,10.1012526595409,53900,0.0,1.0
2009-01-07,9.92,12.3,9.92,10.24,8.69948084387707,22100,0.0,1.0
2009-01-08,10.19,11.45,9.0,9.91,8.41912648074431,26200,0.0,1.0
2009-01-09,9.47,9.81,8.13,9.13,7.75647071333961,39000,0.0,1.0
2009-01-12,8.48,8.75,7.67,7.67,6.5161150461462,63000,0.0,1.0
2009-01-13,7.69,8.57,6.95,7.18,6.09983129482786,59000,0.0,1.0
2009-01-14,6.9,7.4,6.71,6.71,5.70053871703273,39800,0.0,1.0
2009-01-15,6.69,7.49,6.5,7.25,6.15930040215906,42900,0.0,1.0
2009-01-16,7.28,8.0,7.0,7.39,6.27823861682144,78300,0.0,1.0
2009-01-20,7.04,7.59,6.92,6.92,5.8789460390263,58500,0.0,1.0
2009-01-21,7.03,7.25,6.01,6.95,5.9044327993111,47700,0.0,1.0
2009-01-22,6.81,6.81,6.02,6.02,5.11434323048242,30900,0.0,1.0
2009-01-23,6.15,6.36,5.92,5.95,5.05487412315123,19900,0.0,1.0
2009-01-26,5.94,6.46,5.94,6.0,5.09735205695922,26400,0.0,1.0
2009-01-27,6.0,6.05,5.75,6.0,5.09735205695922,29000,0.0,1.0
2009-01-28,6.04,6.46,5.885,6.35,5.39469759361517,80700,0.0,1.0
2009-01-29,6.49,6.49,5.75,5.76,4.89345797468085,27200,0.0,1.0
2009-01-30,6.74,6.75,5.9525,6.06,5.14832557752881,33700,0.0,1.0
2009-02-02,5.9,6.23,5.75,5.9,5.01239618934323,23500,0.0,1.0
2009-02-03,5.91,6.14,5.7514,5.8,4.92744032172724,30200,0.0,1.0
2009-02-04,5.77,6.07,5.74,5.75,4.88496238791925,24300,0.0,1.0
2009-02-05,5.75,5.985,5.6,5.82,4.94443149525044,425500,0.0,1.0
2009-02-06,5.76,5.94,5.585,5.83,4.95292708201204,52600,0.0,1.0
2009-02-09,5.85,5.85,5.5,5.64,4.79151093354167,24100,0.0,1.0
2009-02-10,5.63,5.7,5.5,5.53,4.69805947916408,31300,0.0,1.0
2009-02-11,5.5,5.59,5.4,5.53,4.69805947916408,16600,0.0,1.0
2009-02-12,5.27,6.36,5.27,6.36,5.40319318037677,26500,0.0,1.0
2009-02-13,6.33,6.81,5.61,5.9,5.01239618934323,27000,0.0,1.0
2009-02-17,5.74,6.09,5.52,5.64,4.79151093354167,28500,0.0,1.0
2009-02-18,5.51,5.87,5.4,5.46,4.63859037183289,40800,0.0,1.0
2009-02-19,5.53,5.5792,5.25,5.25,4.46018304983932,45400,0.0,1.0
2009-02-20,5.2,5.42,5.2,5.31,4.51115657040891,34600,0.0,1.0
2009-02-23,5.32,5.39,4.5,4.73,4.01841253823618,28500,0.0,1.0
2009-02-24,4.77,5.985,4.77,5.22,4.43469628955452,25200,0.0,1.0
2009-02-25,5.21,5.7,4.81,4.86,4.12885516613697,23600,0.0,1.0
2009-02-26,4.88,5.5,4.56,5.0,4.24779338079935,27900,0.0,1.0
2009-02-27,4.96,5.1,4.75,5.0,4.24779338079935,20100,0.0,1.0
2009-03-02,4.84,5.08,4.26,4.28,3.63611113396424,28600,0.0,1.0
2009-03-03,4.28,7.0,4.0018,4.06,3.44920822520907,55700,0.0,1.0
2009-03-04,4.12,4.56,3.78,4.04,3.43221705168587,75800,0.0,1.0
2009-03-05,4.05,4.26,4.04,4.06,3.44920822520907,39400,0.0,1.0
2009-03-06,4.08,4.72,4.08,4.69,3.98443019118979,494600,0.0,1.0
2009-03-09,4.6,5.0,4.1023,4.62,3.9249610838586,13500,0.0,1.0
