timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-29,20.6,22.19,20.5,21.7,21.7,21354116,0.0,1.0
2020-10-30,21.0,21.98,20.05,21.97,21.97,2271871,0.0,1.0
2020-11-02,21.96,22.05,21.0,21.39,21.39,1220440,0.0,1.0
2020-11-03,21.3,23.64,21.3,22.35,22.35,1792504,0.0,1.0
2020-11-04,22.58,24.98,22.35,24.2,24.2,3632365,0.0,1.0
2020-11-05,24.42,25.84,24.18,24.56,24.56,974220,0.0,1.0
2020-11-06,24.3,25.785,24.19,24.86,24.86,720138,0.0,1.0
2020-11-09,24.89,24.89,21.41,21.74,21.74,1235217,0.0,1.0
2020-11-10,21.7,22.54,21.46,21.73,21.73,837026,0.0,1.0
2020-11-11,21.81,23.63,21.81,22.57,22.57,613210,0.0,1.0
2020-11-12,22.21,22.47,21.61,21.98,21.98,937030,0.0,1.0
2020-11-13,22.09,22.35,21.38,21.78,21.78,412836,0.0,1.0
2020-11-16,21.95,22.445,21.5,21.69,21.69,281864,0.0,1.0
2020-11-17,21.58,22.2,21.38,21.5,21.5,564392,0.0,1.0
2020-11-18,21.49,22.14,21.07,21.5,21.5,1032284,0.0,1.0
2020-11-19,21.42,22.305,21.36,21.91,21.91,1200928,0.0,1.0
2020-11-20,21.76,22.33,21.56,22.0,22.0,411234,0.0,1.0
2020-11-23,22.1,22.1,20.08,20.52,20.52,1430393,0.0,1.0
2020-11-24,20.32,20.85,19.15,19.74,19.74,1451283,0.0,1.0
2020-11-25,19.84,20.1,19.63,19.99,19.99,1690911,0.0,1.0
2020-11-27,20.04,20.21,19.545,20.0,20.0,494053,0.0,1.0
2020-11-30,20.25,20.8,19.73,20.69,20.69,955241,0.0,1.0
2020-12-01,20.65,21.2,20.24,20.88,20.88,1124542,0.0,1.0
2020-12-02,20.81,21.25,20.32,21.0,21.0,661833,0.0,1.0
2020-12-03,20.98,20.98,20.4,20.64,20.64,1195699,0.0,1.0
2020-12-04,20.75,21.2,19.75,19.84,19.84,1105396,0.0,1.0
2020-12-07,19.92,20.4,19.8877,20.15,20.15,848217,0.0,1.0
2020-12-08,20.05,20.44,20.015,20.1,20.1,425363,0.0,1.0
2020-12-09,20.13,20.5,19.81,20.39,20.39,413311,0.0,1.0
2020-12-10,20.3,20.85,20.1,20.33,20.33,386395,0.0,1.0
2020-12-11,20.1,20.76,20.03,20.31,20.31,541603,0.0,1.0
2020-12-14,20.51,20.61,19.91,20.45,20.45,806789,0.0,1.0
