timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-05,10.75,11.2,10.2,10.25,10.25,880600,0.0,1.0
2021-11-08,10.8,10.8,9.51,10.1,10.1,960986,0.0,1.0
2021-11-09,9.88,10.05,8.01,9.28,9.28,1321694,0.0,1.0
2021-11-10,8.91,11.0,8.75,8.94,8.94,1989552,0.0,1.0
2021-11-11,9.1,9.17,8.42,8.63,8.63,632383,0.0,1.0
2021-11-12,8.65,10.01,8.65,9.7,9.7,644523,0.0,1.0
2021-11-15,9.65,9.85,9.01,9.45,9.45,1595775,0.0,1.0
2021-11-16,10.35,10.37,9.8,10.09,10.09,1505700,0.0,1.0
2021-11-17,9.8,10.0,9.3,9.57,9.57,497440,0.0,1.0
2021-11-18,9.67,9.9624,9.01,9.87,9.87,515189,0.0,1.0
2021-11-19,9.91,9.91,9.3516,9.49,9.49,319739,0.0,1.0
2021-11-22,9.41,9.5,8.315,8.4,8.4,776830,0.0,1.0
2021-11-23,8.4,8.53,7.67,8.06,8.06,680168,0.0,1.0
2021-11-24,7.98,8.05,7.52,7.95,7.95,400599,0.0,1.0
2021-11-26,7.7,7.78,7.52,7.64,7.64,184780,0.0,1.0
2021-11-29,7.63,8.13,7.14,7.67,7.67,370696,0.0,1.0
2021-11-30,7.92,8.71,7.53,8.0,8.0,851375,0.0,1.0
2021-12-01,8.15,8.56,8.0,8.25,8.25,928381,0.0,1.0
2021-12-02,8.14,8.47,8.0,8.35,8.35,498732,0.0,1.0
2021-12-03,8.39,8.42,7.85,8.02,8.02,443908,0.0,1.0
2021-12-06,7.96,9.44,7.8,8.8,8.8,1014343,0.0,1.0
2021-12-07,9.01,9.182,8.58,8.86,8.86,306409,0.0,1.0
2021-12-08,8.88,9.33,8.75,8.97,8.97,329343,0.0,1.0
2021-12-09,8.88,9.48,8.85,9.0,9.0,454874,0.0,1.0
2021-12-10,9.02,9.45,9.01,9.06,9.06,328147,0.0,1.0
2021-12-13,8.99,9.31,7.82,7.92,7.92,434741,0.0,1.0
2021-12-14,7.9,8.65,7.9,8.14,8.14,291864,0.0,1.0
2021-12-15,8.06,8.495,7.88,8.16,8.16,343213,0.0,1.0
2021-12-16,8.19,8.32,7.52,7.71,7.71,446574,0.0,1.0
2021-12-17,7.61,8.7,7.435,8.53,8.53,5439644,0.0,1.0
2021-12-20,8.33,9.09,8.16,8.23,8.23,592524,0.0,1.0
2021-12-21,8.65,8.74,8.4,8.47,8.47,286479,0.0,1.0
2021-12-22,8.5,8.9122,8.3101,8.5,8.5,425351,0.0,1.0
2021-12-23,8.5,8.73,8.3287,8.71,8.71,258931,0.0,1.0
2021-12-27,8.91,9.59,8.65,9.42,9.42,457899,0.0,1.0
2021-12-28,9.35,9.56,9.116,9.38,9.38,207712,0.0,1.0
2021-12-29,9.29,9.46,9.05,9.16,9.16,384552,0.0,1.0
2021-12-30,9.19,9.42,8.891,9.04,9.04,283691,0.0,1.0
2021-12-31,9.07,9.5,8.892,9.35,9.35,393324,0.0,1.0
2022-01-03,9.52,9.58,9.16,9.53,9.53,926839,0.0,1.0
2022-01-04,9.58,9.61,8.91,9.28,9.28,5983976,0.0,1.0
2022-01-05,9.22,9.5548,8.79,8.89,8.89,811339,0.0,1.0
2022-01-06,8.82,9.04,8.57,9.01,9.01,776703,0.0,1.0
2022-01-07,9.05,9.2,8.75,8.95,8.95,1199963,0.0,1.0
2022-01-10,9.03,9.28,8.18,8.58,8.58,787534,0.0,1.0
2022-01-11,8.58,8.89,8.22,8.29,8.29,677483,0.0,1.0
2022-01-12,8.27,8.38,7.64,7.95,7.95,1028682,0.0,1.0
2022-01-13,8.01,8.23,7.5,7.74,7.74,854069,0.0,1.0
2022-01-14,7.62,7.78,7.26,7.71,7.71,682153,0.0,1.0
2022-01-18,7.69,7.69,7.16,7.3,7.3,404220,0.0,1.0
2022-01-19,7.53,7.7,6.77,6.9,6.9,779154,0.0,1.0
2022-01-20,6.9,7.2,6.67,6.69,6.69,372679,0.0,1.0
2022-01-21,6.77,6.86,6.36,6.4,6.4,447638,0.0,1.0
2022-01-24,6.2,6.75,5.96,6.69,6.69,502705,0.0,1.0
2022-01-25,6.64,6.91,6.29,6.39,6.39,326176,0.0,1.0
2022-01-26,6.45,6.59,6.24,6.29,6.29,288437,0.0,1.0
2022-01-27,6.31,6.31,5.63,5.87,5.87,577400,0.0,1.0
2022-01-28,6.14,6.53,5.96,6.48,6.48,808296,0.0,1.0
2022-01-31,6.99,7.11,6.48,7.08,7.08,1125727,0.0,1.0
2022-02-01,7.2,7.56,6.77,7.53,7.53,879319,0.0,1.0
