timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-08-01,9.85,9.85,9.79,9.81,9.81,1652281,0.0,1.0
2017-08-02,9.81,9.81,9.81,9.81,9.81,500000,0.0,1.0
2017-08-03,9.81,9.86,9.81,9.82,9.82,860010,0.0,1.0
2017-08-04,9.81,9.82,9.81,9.82,9.82,211331,0.0,1.0
2017-08-07,9.83,9.84,9.81,9.811,9.811,119499,0.0,1.0
2017-08-08,9.82,9.82,9.82,9.82,9.82,1300,0.0,1.0
2017-08-09,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2017-08-10,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2017-08-11,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2017-08-14,9.82,9.84,9.82,9.84,9.84,2200,0.0,1.0
2017-08-15,9.8,9.8,9.8,9.8,9.8,1200,0.0,1.0
2017-08-16,9.76,9.79,9.75,9.79,9.79,4700,0.0,1.0
2017-08-17,9.75,9.78,9.75,9.78,9.78,155664,0.0,1.0
2017-08-18,9.75,9.8,9.75,9.8,9.8,2400,0.0,1.0
2017-08-21,9.8,9.8,9.75,9.75,9.75,369475,0.0,1.0
2017-08-22,9.76,9.8,9.76,9.76,9.76,63500,0.0,1.0
2017-08-23,9.76,9.76,9.76,9.76,9.76,0,0.0,1.0
2017-08-24,9.75,9.75,9.75,9.75,9.75,72000,0.0,1.0
2017-08-25,9.75,9.75,9.75,9.75,9.75,3775,0.0,1.0
2017-08-28,9.78,9.78,9.76,9.76,9.76,1900,0.0,1.0
2017-08-29,9.77,9.8,9.77,9.8,9.8,41160,0.0,1.0
2017-08-30,9.8,10.432,9.8,9.83,9.83,64999,0.0,1.0
2017-08-31,9.52,9.95,8.97,9.78,9.78,18249,0.0,1.0
2017-09-01,9.78,9.83,9.78,9.83,9.83,4500,0.0,1.0
2017-09-05,9.8,9.85,9.8,9.85,9.85,37200,0.0,1.0
2017-09-06,9.83,9.83,9.83,9.83,9.83,22575,0.0,1.0
2017-09-07,9.8,9.819,9.8,9.8,9.8,74500,0.0,1.0
2017-09-08,9.81,9.81,9.8,9.8,9.8,2000,0.0,1.0
2017-09-11,9.79,9.8,9.79,9.8,9.8,93210,0.0,1.0
2017-09-12,9.85,9.85,9.8,9.8,9.8,200,0.0,1.0
2017-09-13,9.8,9.85,9.75,9.85,9.85,91000,0.0,1.0
2017-09-14,9.8,9.8,9.8,9.8,9.8,14724,0.0,1.0
2017-09-15,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2017-09-18,9.82,9.83,9.82,9.83,9.83,4800,0.0,1.0
2017-09-19,9.8,9.83,9.8,9.82,9.82,47400,0.0,1.0
2017-09-20,9.75,9.83,9.75,9.82,9.82,15505,0.0,1.0
2017-09-21,9.775,9.775,9.775,9.775,9.775,400,0.0,1.0
2017-09-22,9.775,9.775,9.775,9.775,9.775,0,0.0,1.0
2017-09-25,9.775,9.775,9.775,9.775,9.775,0,0.0,1.0
2017-09-26,9.8,9.81,9.8,9.81,9.81,3200,0.0,1.0
2017-09-27,9.81,9.81,9.81,9.81,9.81,0,0.0,1.0
2017-09-28,9.85,9.86,9.83,9.83,9.83,17700,0.0,1.0
2017-09-29,9.86,9.86,9.86,9.86,9.86,8000,0.0,1.0
2017-10-02,9.83,9.83,9.81,9.81,9.81,49900,0.0,1.0
2017-10-03,9.83,9.83,9.81,9.81,9.81,2100,0.0,1.0
2017-10-04,9.81,9.81,9.81,9.81,9.81,0,0.0,1.0
2017-10-05,9.83,9.83,9.83,9.83,9.83,500,0.0,1.0
2017-10-06,9.83,9.83,9.83,9.83,9.83,0,0.0,1.0
2017-10-09,9.93,9.93,9.8,9.8,9.8,31220,0.0,1.0
2017-10-10,9.809,9.83,9.809,9.83,9.83,2750,0.0,1.0
2017-10-11,9.81,9.81,9.81,9.81,9.81,1882,0.0,1.0
2017-10-12,9.81,9.81,9.81,9.81,9.81,0,0.0,1.0
2017-10-13,9.82,9.82,9.81,9.81,9.81,7000,0.0,1.0
2017-10-16,9.81,9.81,9.81,9.81,9.81,0,0.0,1.0
2017-10-17,9.81,9.81,9.81,9.81,9.81,100,0.0,1.0
2017-10-18,9.82,9.85,9.82,9.85,9.85,102700,0.0,1.0
2017-10-19,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2017-10-20,9.82,9.85,9.82,9.85,9.85,14800,0.0,1.0
2017-10-23,9.84,9.84,9.83,9.83,9.83,869,0.0,1.0
2017-10-24,9.83,9.83,9.83,9.83,9.83,1,0.0,1.0
2017-10-25,9.83,9.85,9.83,9.85,9.85,1501,0.0,1.0
2017-10-26,9.81,9.82,9.769,9.82,9.82,17800,0.0,1.0
2017-10-27,9.84,9.84,9.8,9.8,9.8,4000,0.0,1.0
2017-10-30,9.81,9.81,9.795,9.795,9.795,1600,0.0,1.0
2017-10-31,9.78,9.8,9.78,9.8,9.8,101799,0.0,1.0
2017-11-01,9.8,9.8,9.8,9.8,9.8,35700,0.0,1.0
2017-11-02,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2017-11-03,9.81,9.81,9.81,9.81,9.81,100,0.0,1.0
2017-11-06,9.81,9.81,9.79,9.795,9.795,6204,0.0,1.0
2017-11-07,9.79,9.79,9.79,9.79,9.79,708,0.0,1.0
2017-11-08,9.79,9.79,9.79,9.79,9.79,0,0.0,1.0
2017-11-09,9.79,9.79,9.79,9.79,9.79,8,0.0,1.0
2017-11-10,9.8,9.8,9.8,9.8,9.8,1200,0.0,1.0
2017-11-13,9.81,9.81,9.8,9.8,9.8,1303,0.0,1.0
2017-11-14,9.8,9.81,9.75,9.8,9.8,438800,0.0,1.0
2017-11-15,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2017-11-16,9.8,9.8,9.78,9.79,9.79,5720,0.0,1.0
2017-11-17,9.8,9.82,9.771,9.79,9.79,225100,0.0,1.0
2017-11-20,9.8,9.8,9.78,9.78,9.78,288742,0.0,1.0
2017-11-21,9.8,9.82,9.8,9.82,9.82,16500,0.0,1.0
2017-11-22,9.83,9.83,9.811,9.811,9.811,2104,0.0,1.0
