timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,55.31,55.94,54.38,54.63,14.8823548212582,1718900,0.0,1.0
1999-11-02,55.38,57.06,55.19,56.06,15.2719167358545,1558700,0.0,1.0
1999-11-03,56.75,57.5,56.19,56.63,15.4271966598545,1805700,0.0,1.0
1999-11-04,56.75,56.81,54.44,54.56,14.8632853569073,1051100,0.0,1.0
1999-11-05,55.0,56.0,54.25,54.75,14.915045331574,1408500,0.0,1.0
1999-11-08,54.19,54.81,53.44,54.06,14.7270748972582,866200,0.0,1.0
1999-11-09,54.06,54.13,53.38,53.88,14.6780391317846,1050100,0.0,1.0
1999-11-10,53.88,54.38,53.44,53.75,14.6426244122758,720100,0.0,1.0
1999-11-11,53.75,55.0,53.25,55.0,14.9831505613985,1142500,0.0,1.0
1999-11-12,54.13,55.44,53.19,55.0,14.9831505613985,1602700,0.0,1.0
1999-11-15,55.44,56.25,54.25,55.56,15.1357062762055,1347700,0.0,1.0
1999-11-16,55.63,57.69,55.63,56.81,15.4762324253281,1661400,0.0,1.0
1999-11-17,56.69,57.06,55.38,55.38,15.0866705107318,1044400,0.0,1.0
1999-11-18,55.38,56.63,55.31,55.94,15.2392262255388,997400,0.0,1.0
1999-11-19,51.5,52.5,49.0,49.19,13.4003850202762,7474200,0.0,1.0
1999-11-22,48.5,50.94,47.88,50.25,13.6891511947323,4108500,0.0,1.0
1999-11-23,50.25,50.25,48.94,50.19,13.6728059395744,1807300,0.0,1.0
1999-11-24,49.0,49.31,48.13,48.56,13.2287598411184,2077300,0.0,1.0
1999-11-26,48.19,48.31,47.63,48.13,13.1116188458202,887600,0.0,1.0
1999-11-29,47.5,47.75,46.19,46.19,12.5831222623817,1978000,0.0,1.0
1999-11-30,45.63,48.19,45.63,46.38,12.6348822370484,2425700,0.0,1.0
1999-12-01,46.19,47.5,46.19,46.94,12.7874379518554,1343600,0.0,1.0
1999-12-02,47.88,48.63,47.5,47.5,12.9399936666623,1920400,0.0,1.0
1999-12-03,48.0,49.19,47.44,48.27,13.1497577745219,2325200,0.0,1.0
1999-12-06,48.25,48.63,47.44,47.63,12.9754083861711,1259400,0.0,1.0
1999-12-07,47.88,47.88,45.31,45.69,12.4469118027327,2021800,0.0,1.0
1999-12-08,45.19,45.69,44.69,45.13,12.2943560879257,3106300,0.0,1.0
1999-12-09,45.63,46.5,45.44,45.81,12.4796023130485,1871900,0.0,1.0
1999-12-10,46.0,47.06,46.0,46.69,12.7193327220308,2316000,0.0,1.0
1999-12-13,46.56,46.94,45.75,46.32,12.6185369818905,1557400,0.0,1.0
1999-12-14,45.5,47.69,45.5,46.13,12.5667770072239,2210300,0.0,1.0
1999-12-15,46.0,47.25,45.81,46.52,12.6730211657501,1733500,0.0,1.0
1999-12-16,46.0,47.5,46.0,47.13,12.839197926522,1470900,0.0,1.0
1999-12-17,47.12,47.44,44.94,44.94,12.2425961132591,2661500,0.0,1.0
1999-12-20,45.0,45.75,44.94,45.13,12.2943560879257,1416700,0.0,1.0
1999-12-21,44.44,45.0,43.13,44.38,12.0900403984521,1752300,0.0,1.0
1999-12-22,44.06,44.81,43.38,43.38,11.8176194791539,1262100,0.0,1.0
1999-12-23,44.19,45.44,44.06,44.81,12.2071813937503,1109600,0.0,1.0
1999-12-27,45.5,46.94,45.25,46.44,12.6512274922063,1743800,0.0,1.0
1999-12-28,46.69,48.06,46.38,47.56,12.9563389218202,1546800,0.0,1.0
1999-12-29,47.69,48.06,46.25,46.5,12.6675727473642,1593200,0.0,1.0
1999-12-30,46.75,47.56,45.88,46.0,12.5313622877151,1357400,0.0,1.0
1999-12-31,45.75,47.44,45.69,47.06,12.8201284621711,762800,0.0,1.0
2000-01-03,48.88,49.0,48.5,48.63,13.2478293054692,2527500,0.0,1.0
2000-01-04,48.13,49.75,48.0,48.0,13.0762041263114,3090700,0.0,1.0
2000-01-05,48.06,49.88,48.0,49.81,13.5692859902411,3199300,0.0,1.0
2000-01-06,51.0,52.25,50.56,51.63,14.0650920633637,2570300,0.0,1.0
2000-01-07,52.88,55.0,52.75,53.31,14.5227592077846,3180100,0.0,1.0
2000-01-10,54.06,54.56,51.5,51.56,14.0460225990128,1841100,0.0,1.0
2000-01-11,51.63,53.19,50.75,50.75,13.8253616543813,1972800,0.0,1.0
2000-01-12,51.5,52.31,51.13,51.63,14.0650920633637,1700500,0.0,1.0
2000-01-13,53.19,53.38,52.06,52.19,14.2176477781707,1564700,0.0,1.0
2000-01-14,52.06,52.88,51.88,51.94,14.1495425483461,1522200,0.0,1.0
2000-01-18,51.56,51.75,49.88,49.94,13.6932375085217,2027100,0.325,1.0
2000-01-19,49.94,50.69,49.31,49.31,13.5204954254146,1712300,0.0,1.0
2000-01-20,49.56,49.94,47.06,47.13,12.9227529791075,2139600,0.0,1.0
2000-01-21,47.19,47.94,45.63,47.38,12.9913014247849,2500000,0.0,1.0
2000-01-24,47.0,47.25,45.06,45.31,12.4237202945759,2692800,0.0,1.0
