timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-29,87.24,88.6,78.02,78.29,78.29,71485240,0.0,1.0
2019-04-01,74.9,75.0,67.78,69.01,69.01,41799258,0.0,1.0
2019-04-02,66.9,70.2,66.1,68.97,68.97,22483330,0.0,1.0
2019-04-03,70.06,72.0,69.12,70.0,70.0,15662287,0.0,1.0
2019-04-04,70.48,72.89,70.22,72.0,72.0,9233730,0.0,1.0
2019-04-05,73.94,76.1,73.3,74.45,74.45,11200122,0.0,1.0
2019-04-08,74.99,74.99,70.23,70.23,70.23,6599481,0.0,1.0
2019-04-09,69.5,69.7,67.11,67.44,67.44,8223332,0.0,1.0
2019-04-10,67.25,67.35,59.75,60.12,60.12,26392068,0.0,1.0
2019-04-11,61.1,62.3,60.31,61.01,61.01,12405691,0.0,1.0
2019-04-12,61.38,61.4899,57.66,59.895,59.895,13787541,0.0,1.0
2019-04-15,59.72,59.8,55.5595,56.11,56.11,14345925,0.0,1.0
2019-04-16,56.86,57.94,56.18,56.25,56.25,9965046,0.0,1.0
2019-04-17,56.5,59.61,55.62,59.51,59.51,10768260,0.0,1.0
2019-04-18,59.65,59.66,57.6,58.36,58.36,6869872,0.0,1.0
2019-04-22,57.9,61.23,57.6505,60.94,60.94,5265581,0.0,1.0
2019-04-23,62.02,62.1,59.33,60.25,60.25,11975038,0.0,1.0
2019-04-24,60.11,60.4892,57.77,57.82,57.82,5157959,0.0,1.0
2019-04-25,58.2,58.4569,55.861,56.34,56.34,5097091,0.0,1.0
2019-04-26,56.3,57.53,54.32,57.24,57.24,5981041,0.0,1.0
2019-04-29,57.6,60.71,56.0,60.59,60.59,7231802,0.0,1.0
2019-04-30,59.93,61.4,58.22,59.8,59.8,6072676,0.0,1.0
2019-05-01,60.7,60.71,58.5321,58.75,58.75,3450824,0.0,1.0
2019-05-02,58.44,62.01,57.33,61.5,61.5,6634306,0.0,1.0
2019-05-03,61.21,62.985,60.1008,62.51,62.51,9393560,0.0,1.0
2019-05-06,60.55,61.5,59.9,60.57,60.57,5184648,0.0,1.0
2019-05-07,60.34,61.6,58.12,59.34,59.34,11591711,0.0,1.0
2019-05-08,57.69,60.45,52.78,52.91,52.91,22640392,0.0,1.0
2019-05-09,54.07,56.45,53.1,55.18,55.18,9603468,0.0,1.0
2019-05-10,56.39,56.49,50.02,51.09,51.09,23111233,0.0,1.0
2019-05-13,50.0,50.09,47.17,48.15,48.15,10007408,0.0,1.0
2019-05-14,48.82,51.39,48.0,50.52,50.52,7007446,0.0,1.0
2019-05-15,50.2,54.85,49.86,54.04,54.04,7909299,0.0,1.0
2019-05-16,54.1,56.72,53.55,55.6,55.6,7101652,0.0,1.0
2019-05-17,54.5,55.11,53.46,53.79,53.79,4326534,0.0,1.0
2019-05-20,52.14,54.69,51.845,54.63,54.63,2709956,0.0,1.0
2019-05-21,54.77,56.03,53.53,55.51,55.51,3490690,0.0,1.0
2019-05-22,54.68,57.96,54.62,57.88,57.88,3913654,0.0,1.0
2019-05-23,56.82,58.48,56.32,58.11,58.11,3649271,0.0,1.0
2019-05-24,58.5,58.79,56.61,57.1,57.1,2412541,0.0,1.0
2019-05-28,56.85,57.99,55.4,56.89,56.89,2836103,0.0,1.0
2019-05-29,56.3,56.73,54.055,56.26,56.26,3166532,0.0,1.0
2019-05-30,56.04,56.545,54.07,54.83,54.83,2558421,0.0,1.0
2019-05-31,56.41,58.45,54.57,57.62,57.62,5123655,0.0,1.0
2019-06-03,58.52,61.77,58.32,59.54,59.54,5549283,0.0,1.0
2019-06-04,61.1,61.17,57.56,59.17,59.17,4093235,0.0,1.0
2019-06-05,59.4,63.24,59.2,63.01,63.01,4834398,0.0,1.0
2019-06-06,62.25,63.18,60.4,61.63,61.63,3844881,0.0,1.0
2019-06-07,62.0,62.23,59.2125,59.26,59.26,3881889,0.0,1.0
2019-06-10,59.45,60.58,56.7,56.76,56.76,2677302,0.0,1.0
2019-06-11,59.08,59.25,56.31,58.07,58.07,2719393,0.0,1.0
2019-06-12,57.18,58.869,57.05,58.41,58.41,1534541,0.0,1.0
2019-06-13,59.48,61.35,58.75,61.21,61.21,2681485,0.0,1.0
2019-06-14,61.0,61.39,59.97,60.96,60.96,1955832,0.0,1.0
2019-06-17,60.48,64.14,60.32,63.6,63.6,4386247,0.0,1.0
2019-06-18,63.7,64.76,61.61,64.4,64.4,4670249,0.0,1.0
2019-06-19,64.5,65.07,63.15,63.55,63.55,3014571,0.0,1.0
2019-06-20,64.0,64.2075,62.11,62.84,62.84,2323486,0.0,1.0
2019-06-21,62.8,64.3,62.52,64.26,64.26,3921662,0.0,1.0
2019-06-24,64.0,64.27,62.86,63.76,63.76,2281952,0.0,1.0
2019-06-25,63.76,64.27,62.66,64.04,64.04,2064936,0.0,1.0
2019-06-26,64.32,64.64,62.77,62.97,62.97,1913526,0.0,1.0
2019-06-27,63.52,65.36,63.14,65.27,65.27,3734526,0.0,1.0
2019-06-28,65.2,66.64,64.44,65.71,65.71,6317350,0.0,1.0
2019-07-01,66.0,66.1,61.5,62.0,62.0,4452383,0.0,1.0
2019-07-02,62.89,62.9,60.25,60.35,60.35,3039052,0.0,1.0
2019-07-03,60.64,61.2,60.38,60.6,60.6,1246873,0.0,1.0
2019-07-05,60.71,60.8799,58.75,59.39,59.39,3331763,0.0,1.0
2019-07-08,59.31,60.09,58.5,59.79,59.79,2792260,0.0,1.0
2019-07-09,59.79,62.1206,59.78,61.83,61.83,3091241,0.0,1.0
2019-07-10,62.28,62.74,61.43,62.3,62.3,2337768,0.0,1.0
2019-07-11,62.31,62.66,61.11,61.85,61.85,1923231,0.0,1.0
2019-07-12,61.85,64.6,60.62,64.25,64.25,5665178,0.0,1.0
2019-07-15,64.39,64.99,63.82,64.79,64.79,1921805,0.0,1.0
2019-07-16,64.33,65.46,64.1525,64.8,64.8,1807062,0.0,1.0
2019-07-17,64.5,65.26,63.33,65.17,65.17,1597449,0.0,1.0
2019-07-18,65.0,66.13,64.57,66.0,66.0,1897696,0.0,1.0
2019-07-19,66.22,68.33,66.15,67.45,67.45,3734856,0.0,1.0
2019-07-22,67.22,67.3845,65.7302,66.0,66.0,1916082,0.0,1.0
2019-07-23,66.25,66.49,64.83,64.93,64.93,1492358,0.0,1.0
2019-07-24,64.93,65.78,64.49,65.23,65.23,1427450,0.0,1.0
2019-07-25,65.53,65.63,64.63,65.01,65.01,1046994,0.0,1.0
2019-07-26,65.23,66.7,65.23,65.52,65.52,1911164,0.0,1.0
2019-07-29,65.74,65.99,62.94,64.03,64.03,2179202,0.0,1.0
2019-07-30,63.8,63.94,61.68,62.46,62.46,2619198,0.0,1.0
2019-07-31,62.51,62.83,60.3651,60.87,60.87,2230362,0.0,1.0
2019-08-01,60.61,61.31,59.59,59.77,59.77,2278420,0.0,1.0
2019-08-02,59.5,59.6,57.14,58.61,58.61,2253326,0.0,1.0
2019-08-05,57.44,59.694,56.3,59.51,59.51,2487176,0.0,1.0
2019-08-06,59.79,60.8,57.16,58.7,58.7,2849725,0.0,1.0
2019-08-07,58.0,61.44,57.66,60.29,60.29,8786629,0.0,1.0
2019-08-08,65.5,65.92,61.5,62.1,62.1,13257226,0.0,1.0
2019-08-09,61.69,61.95,58.12,59.12,59.12,8687368,0.0,1.0
2019-08-12,58.51,58.6,55.71,56.18,56.18,5457111,0.0,1.0
2019-08-13,56.0,58.49,54.39,58.08,58.08,4371272,0.0,1.0
2019-08-14,56.52,57.23,53.66,54.49,54.49,4097016,0.0,1.0
2019-08-15,54.99,54.99,52.0704,52.8,52.8,5209858,0.0,1.0
2019-08-16,53.02,53.76,52.15,52.47,52.47,6039148,0.0,1.0
2019-08-19,51.6,53.55,50.51,51.68,51.68,26232273,0.0,1.0
2019-08-20,51.47,54.42,51.11,53.65,53.65,11093863,0.0,1.0
2019-08-21,53.81,54.69,52.86,54.15,54.15,6549817,0.0,1.0
