timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-05-03,9.83,9.83,9.83,9.83,9.83,274,0.0,1.0
2021-05-04,9.8099,9.8099,9.8099,9.8099,9.8099,276,0.0,1.0
2021-05-05,9.71,9.89,9.69,9.89,9.89,50882,0.0,1.0
2021-05-06,9.71,9.89,9.685,9.89,9.89,75532,0.0,1.0
2021-05-07,9.79,9.84,9.79,9.84,9.84,8008,0.0,1.0
2021-05-10,9.84,9.84,9.84,9.84,9.84,6,0.0,1.0
2021-05-11,9.84,9.84,9.84,9.84,9.84,3,0.0,1.0
2021-05-12,9.84,9.84,9.84,9.84,9.84,3,0.0,1.0
2021-05-13,9.84,9.84,9.84,9.84,9.84,18,0.0,1.0
2021-05-14,9.8,9.8,9.71,9.8,9.8,2534,0.0,1.0
2021-05-17,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-05-18,9.77,9.78,9.77,9.78,9.78,272,0.0,1.0
2021-05-19,9.95,9.95,9.76,9.92,9.92,4575,0.0,1.0
2021-05-20,9.92,9.92,9.92,9.92,9.92,24,0.0,1.0
2021-05-21,9.92,9.92,9.92,9.92,9.92,5,0.0,1.0
2021-05-24,9.92,9.92,9.92,9.92,9.92,104,0.0,1.0
2021-05-25,9.85,9.85,9.85,9.85,9.85,9638,0.0,1.0
2021-05-26,9.85,9.85,9.83,9.85,9.85,5454,0.0,1.0
2021-05-27,9.8499,9.8499,9.8499,9.8499,9.8499,294,0.0,1.0
2021-05-28,9.8499,9.8499,9.8499,9.8499,9.8499,0,0.0,1.0
2021-06-01,9.76,9.76,9.76,9.76,9.76,22472,0.0,1.0
2021-06-02,9.78,9.79,9.78,9.78,9.78,1933,0.0,1.0
2021-06-03,9.78,9.78,9.78,9.78,9.78,16,0.0,1.0
2021-06-04,9.7525,9.7525,9.7525,9.7525,9.7525,200016,0.0,1.0
2021-06-07,9.78,9.92,9.78,9.78,9.78,1300,0.0,1.0
2021-06-08,9.78,9.78,9.78,9.78,9.78,150,0.0,1.0
2021-06-09,9.73,9.78,9.73,9.78,9.78,6494,0.0,1.0
2021-06-10,9.8,9.8,9.75,9.8,9.8,3516,0.0,1.0
2021-06-11,9.79,9.79,9.79,9.79,9.79,8410,0.0,1.0
2021-06-14,9.79,9.79,9.79,9.79,9.79,28,0.0,1.0
2021-06-15,9.79,9.8,9.76,9.8,9.8,1620,0.0,1.0
2021-06-16,9.75,9.75,9.71,9.75,9.75,5750,0.0,1.0
2021-06-17,9.73,9.73,9.73,9.73,9.73,6688,0.0,1.0
2021-06-18,9.73,9.73,9.7,9.715,9.715,3882,0.0,1.0
2021-06-21,9.715,9.715,9.715,9.715,9.715,47,0.0,1.0
2021-06-22,9.7,9.7,9.7,9.7,9.7,58913,0.0,1.0
2021-06-23,9.75,9.75,9.7,9.7,9.7,646,0.0,1.0
2021-06-24,9.65,9.7,9.65,9.7,9.7,4584,0.0,1.0
2021-06-25,9.71,9.72,9.71,9.72,9.72,2211,0.0,1.0
2021-06-28,9.71,9.72,9.68,9.7,9.7,149811,0.0,1.0
2021-06-29,9.7,9.7,9.7,9.7,9.7,0,0.0,1.0
2021-06-30,9.71,9.71,9.7,9.7,9.7,82131,0.0,1.0
2021-07-01,9.68,9.7,9.68,9.7,9.7,38863,0.0,1.0
